year,race_recoded,count,percentage
2017,Black or Hispanic,391,80.29
2017,Other,96,19.71
2018,Black or Hispanic,214,82.31
2018,Other,46,17.69
2019,Black or Hispanic,344,90.29
2019,Other,37,9.71
2020,Black or Hispanic,102,87.18
2020,Other,15,12.82
2021,Black or Hispanic,28,70
2021,Other,12,30
2022,Black or Hispanic,136,90.67
2022,Other,14,9.33
2023,Black or Hispanic,397,91.69
2023,Other,36,8.31
2024,Black or Hispanic,809,93.31
2024,Other,58,6.69
